               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10503,            0.064449,            0.023833,             0.18053,             0.21605,             0.11239,              0.0348,             0.07748,            0.047619,            0.015159,            0.070286,           0.0033016,           0.0033016
                   1,            0.074305,            0.062341,            0.012874,             0.34014,             0.43086,              0.3045,             0.11545,            0.064574,            0.038504,           0.0092098,            0.040264,            0.006613,            0.006613
                   2,            0.067966,            0.057535,            0.010054,             0.41787,             0.52023,             0.39516,             0.15828,            0.058277,            0.037504,           0.0081365,             0.01022,           0.0099025,           0.0099025
                   3,            0.060374,            0.056332,           0.0089126,             0.53317,             0.55771,             0.48799,             0.20646,             0.05502,             0.03927,           0.0075118,            0.009901,            0.009901,            0.009901
                   4,            0.056212,             0.05278,           0.0079595,             0.69563,             0.63876,              0.6704,             0.30896,            0.048618,            0.034738,           0.0068451,            0.009901,            0.009901,            0.009901
                   5,            0.053717,            0.053203,           0.0077059,             0.73812,              0.6539,             0.69175,              0.3385,            0.045611,            0.036977,           0.0066201,            0.009868,            0.009868,            0.009868
                   6,            0.051649,            0.051915,           0.0072331,              0.7241,              0.6618,             0.69022,             0.31969,            0.046784,            0.034811,           0.0063908,            0.009835,            0.009835,            0.009835
                   7,            0.050688,            0.051573,           0.0069038,             0.74647,             0.60677,             0.65443,             0.29787,            0.048639,            0.035947,           0.0068157,            0.009802,            0.009802,            0.009802
                   8,            0.049521,            0.051312,           0.0066085,             0.73313,             0.68119,             0.71557,              0.3571,            0.045558,            0.034628,           0.0059853,            0.009769,            0.009769,            0.009769
                   9,            0.048758,            0.050682,           0.0066643,             0.79931,             0.67855,             0.74743,             0.38301,            0.044011,            0.032952,            0.006019,            0.009736,            0.009736,            0.009736
                  10,            0.047793,             0.04872,            0.006432,             0.78682,             0.69685,             0.75945,             0.38371,            0.043365,            0.032875,           0.0057526,            0.009703,            0.009703,            0.009703
                  11,            0.046913,            0.049294,           0.0063528,             0.79995,             0.71732,             0.76937,             0.40058,            0.043161,            0.032736,           0.0056457,             0.00967,             0.00967,             0.00967
                  12,            0.047031,            0.049264,           0.0062137,             0.80241,             0.70551,              0.7748,             0.38481,            0.043494,            0.033059,           0.0056945,            0.009637,            0.009637,            0.009637
                  13,            0.046587,            0.048325,           0.0064918,             0.81082,             0.71301,              0.7814,             0.40517,            0.042557,            0.032548,           0.0056253,            0.009604,            0.009604,            0.009604
                  14,            0.045793,            0.047391,           0.0058848,             0.77662,             0.71409,             0.76534,             0.39793,            0.042958,            0.032201,           0.0056129,            0.009571,            0.009571,            0.009571
                  15,            0.045595,            0.047735,           0.0059513,             0.80503,              0.6814,             0.74339,             0.39211,              0.0431,            0.034071,           0.0058417,            0.009538,            0.009538,            0.009538
                  16,             0.04484,            0.046556,           0.0060394,             0.80661,              0.7189,             0.77766,             0.41615,            0.042086,            0.032264,           0.0055871,            0.009505,            0.009505,            0.009505
                  17,            0.045078,            0.046286,           0.0056658,             0.80808,             0.74561,             0.79285,             0.41367,            0.041807,            0.032077,           0.0054595,            0.009472,            0.009472,            0.009472
                  18,            0.044335,            0.045354,           0.0055941,             0.80599,             0.71292,             0.77565,             0.41695,            0.042273,            0.032358,           0.0053877,            0.009439,            0.009439,            0.009439
                  19,            0.043265,            0.045816,           0.0052982,             0.82193,             0.70508,             0.77526,              0.4225,            0.041511,            0.032417,           0.0054497,            0.009406,            0.009406,            0.009406
                  20,             0.04307,            0.045425,           0.0053959,             0.80013,             0.73525,             0.77886,             0.41373,            0.041927,            0.032714,           0.0052366,            0.009373,            0.009373,            0.009373
                  21,            0.044134,            0.044867,           0.0055795,             0.83604,             0.73164,             0.78889,             0.42623,            0.041198,            0.031864,           0.0053246,             0.00934,             0.00934,             0.00934
