               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.048253,            0.041819,           0.0063144,             0.78641,             0.65466,             0.71166,             0.32019,             0.05139,            0.037152,           0.0070535,            0.008845,            0.008845,            0.008845
                  37,              0.0477,            0.039168,           0.0058022,             0.77792,             0.66096,               0.705,             0.31877,            0.051402,            0.036105,            0.006823,            0.008812,            0.008812,            0.008812
                  38,            0.046674,            0.040674,           0.0057599,             0.75559,              0.6638,              0.7024,             0.31551,            0.051402,            0.036546,            0.007103,            0.008779,            0.008779,            0.008779
                  39,            0.046696,            0.039428,           0.0059964,             0.77395,             0.66023,             0.70485,             0.32971,            0.051022,            0.037395,           0.0070884,            0.008746,            0.008746,            0.008746
                  40,            0.047193,            0.040846,           0.0059199,             0.76651,             0.65518,               0.704,             0.30884,            0.052082,            0.037519,           0.0067331,            0.008713,            0.008713,            0.008713
                  41,            0.047816,             0.04357,           0.0058248,             0.78265,             0.67665,              0.7204,             0.33115,             0.05126,            0.036659,           0.0070659,             0.00868,             0.00868,             0.00868
                  42,            0.046288,            0.040286,           0.0060543,             0.76488,             0.65214,             0.70708,             0.32024,            0.050936,            0.036584,           0.0068627,            0.008647,            0.008647,            0.008647
                  43,             0.04731,            0.040385,           0.0057719,             0.79836,             0.64435,              0.6972,             0.32634,            0.051377,            0.038445,           0.0071618,            0.008614,            0.008614,            0.008614
                  44,             0.04536,             0.03811,           0.0052844,             0.79061,             0.65711,             0.71451,             0.32737,            0.051143,            0.037068,           0.0071851,            0.008581,            0.008581,            0.008581
                  45,             0.04575,            0.038821,           0.0058485,             0.77949,               0.674,             0.72379,             0.33919,            0.050304,            0.036094,           0.0070457,            0.008548,            0.008548,            0.008548
                  46,            0.046188,            0.039511,           0.0056213,             0.76323,             0.65939,             0.70149,             0.33548,            0.050981,            0.036889,           0.0074234,            0.008515,            0.008515,            0.008515
                  47,            0.045413,             0.03935,           0.0057138,             0.80108,             0.64517,             0.70552,             0.33601,            0.051176,            0.038061,           0.0075763,            0.008482,            0.008482,            0.008482
                  48,            0.045987,            0.039973,           0.0059291,             0.79158,             0.66269,             0.69752,             0.32297,            0.050967,            0.038078,           0.0069649,            0.008449,            0.008449,            0.008449
                  49,            0.045005,            0.037943,           0.0053605,             0.78449,             0.66532,             0.70648,              0.3229,            0.050985,            0.037322,           0.0069038,            0.008416,            0.008416,            0.008416
                  50,            0.046074,            0.037323,           0.0055976,              0.7454,             0.65953,              0.6986,             0.32067,            0.052074,            0.036792,           0.0071159,            0.008383,            0.008383,            0.008383
                  51,            0.046109,            0.038793,           0.0057164,             0.77033,             0.67908,             0.72374,             0.32491,            0.050904,             0.03704,           0.0068732,             0.00835,             0.00835,             0.00835
                  52,            0.045882,            0.037699,           0.0056457,             0.78086,             0.65165,             0.71041,             0.33762,            0.050111,            0.038434,            0.007133,            0.008317,            0.008317,            0.008317
                  53,             0.04565,            0.039452,           0.0058739,             0.74221,             0.66169,             0.70086,             0.32782,            0.051178,            0.037631,           0.0073919,            0.008284,            0.008284,            0.008284
                  54,            0.044861,            0.038283,           0.0053912,             0.80098,             0.63636,             0.70867,             0.33273,            0.050592,            0.039231,           0.0069569,            0.008251,            0.008251,            0.008251
                  55,            0.044246,            0.038002,           0.0053505,             0.78242,             0.68713,             0.73409,             0.34908,            0.050076,            0.035809,           0.0070724,            0.008218,            0.008218,            0.008218
                  56,            0.044134,            0.038791,           0.0054415,             0.77017,             0.66213,             0.70707,             0.32882,            0.050224,            0.038151,           0.0068586,            0.008185,            0.008185,            0.008185
                  57,            0.044851,            0.037239,            0.005355,             0.79731,             0.66987,             0.71924,             0.33753,            0.050629,            0.037144,           0.0068041,            0.008152,            0.008152,            0.008152
                  58,            0.044924,            0.035633,           0.0055493,             0.77243,             0.67477,             0.71202,             0.33558,            0.050597,            0.036089,           0.0069777,            0.008119,            0.008119,            0.008119
                  59,            0.043987,            0.036459,           0.0051494,             0.77531,             0.66094,             0.71165,             0.33498,            0.050588,            0.037989,           0.0072555,            0.008086,            0.008086,            0.008086
                  60,            0.045302,            0.040386,           0.0056071,             0.78534,             0.69382,             0.72617,             0.34251,            0.050082,            0.037722,           0.0068569,            0.008053,            0.008053,            0.008053
                  61,            0.044434,            0.038309,           0.0056839,             0.79971,             0.64724,             0.71287,             0.33523,            0.050709,            0.038304,           0.0070982,             0.00802,             0.00802,             0.00802
                  62,            0.043808,            0.038264,           0.0052912,             0.80014,             0.66761,             0.71962,             0.33936,            0.050641,            0.037443,           0.0070282,            0.007987,            0.007987,            0.007987
                  63,            0.044058,            0.036849,           0.0052996,             0.77766,             0.66589,             0.71444,             0.33923,            0.050409,            0.037277,           0.0069805,            0.007954,            0.007954,            0.007954
                  64,            0.044695,            0.038543,           0.0056447,             0.79187,             0.66731,             0.72398,             0.34068,            0.050674,            0.037837,           0.0074308,            0.007921,            0.007921,            0.007921
                  65,            0.043416,            0.036071,           0.0053093,             0.79834,             0.66773,             0.71831,             0.34686,            0.050051,            0.037824,           0.0073022,            0.007888,            0.007888,            0.007888
                  66,            0.043461,            0.036847,           0.0053418,             0.76956,             0.66654,             0.70677,             0.33515,            0.050726,            0.038203,           0.0072873,            0.007855,            0.007855,            0.007855
                  67,            0.043607,             0.03511,            0.005244,             0.76808,             0.65023,             0.69478,             0.32634,            0.051353,            0.038841,           0.0076683,            0.007822,            0.007822,            0.007822
                  68,            0.044167,            0.037676,           0.0053873,             0.77186,              0.6776,             0.72945,             0.34619,            0.050014,            0.037699,           0.0071143,            0.007789,            0.007789,            0.007789
                  69,             0.04346,            0.036016,           0.0053584,             0.72734,             0.69375,             0.71106,             0.33054,            0.050182,            0.038283,           0.0072977,            0.007756,            0.007756,            0.007756
                  70,            0.043807,            0.037968,           0.0053492,             0.76874,             0.66377,             0.70695,             0.32732,            0.050327,            0.038597,            0.007091,            0.007723,            0.007723,            0.007723
                  71,            0.043103,            0.035648,            0.005299,              0.7615,             0.68419,             0.71461,             0.34259,            0.049927,            0.038273,           0.0070182,             0.00769,             0.00769,             0.00769
                  72,            0.043953,            0.037989,           0.0055753,             0.79274,             0.65045,              0.7034,             0.33325,            0.050345,            0.038531,           0.0069871,            0.007657,            0.007657,            0.007657
                  73,            0.042784,            0.035009,           0.0049542,             0.80341,             0.67945,             0.72882,             0.34648,            0.050266,            0.037222,           0.0067568,            0.007624,            0.007624,            0.007624
                  74,            0.043392,            0.037228,           0.0055594,             0.79549,             0.65286,             0.70663,             0.33301,            0.050735,            0.039301,            0.007084,            0.007591,            0.007591,            0.007591
                  75,             0.04283,            0.036777,           0.0051285,             0.77116,             0.66917,             0.70194,             0.33793,            0.050798,            0.038863,           0.0073009,            0.007558,            0.007558,            0.007558
                  76,            0.043214,            0.037854,           0.0050822,              0.7719,             0.68734,             0.72284,             0.33859,            0.050319,            0.037469,            0.007003,            0.007525,            0.007525,            0.007525
                  77,            0.043492,            0.037766,           0.0050453,             0.76983,             0.67882,             0.71493,             0.34168,            0.050037,            0.038217,           0.0070873,            0.007492,            0.007492,            0.007492
                  78,            0.042539,            0.035841,           0.0054771,             0.80137,             0.67526,             0.72866,             0.34296,            0.049936,            0.039049,           0.0069853,            0.007459,            0.007459,            0.007459
                  79,             0.04248,             0.03558,           0.0049489,             0.81596,             0.66594,             0.72572,             0.34385,            0.050401,             0.03882,           0.0068131,            0.007426,            0.007426,            0.007426
                  80,             0.04276,             0.03566,           0.0051962,             0.78824,             0.69325,             0.73099,             0.34439,            0.050609,            0.037788,            0.007125,            0.007393,            0.007393,            0.007393
                  81,            0.042192,            0.033908,           0.0050661,             0.77035,             0.66515,             0.70964,             0.33632,              0.0507,            0.038094,           0.0070473,             0.00736,             0.00736,             0.00736
                  82,            0.042986,            0.034366,           0.0050554,             0.78526,             0.67189,             0.72019,             0.34564,            0.050044,            0.038092,           0.0070378,            0.007327,            0.007327,            0.007327
                  83,            0.042744,            0.035465,           0.0051037,              0.7988,             0.67771,             0.73415,             0.34638,            0.050108,            0.038667,           0.0068594,            0.007294,            0.007294,            0.007294
                  84,            0.042131,            0.035487,           0.0050798,             0.77922,             0.70703,             0.73217,             0.35311,            0.049542,            0.036953,           0.0070325,            0.007261,            0.007261,            0.007261
